id	title	description	link	image_link	additional_image_link	availability	price	condition	brand	google_product_category	product_type	identifier_exists
77259	Camisa Viyela AERO 38-44	Camisa Viyela AERO 38-44. Marca Aero. Colores: Azul, Negro, Rojo. Talles: 38, 40, 42, 44. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Camisa-viyela-aero-38-44.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camisa-viyela-aero-38-44-1720036080-0-0.png		in_stock	19360.00 ARS	new	Aero	Apparel & Accessories > Clothing > Shirts & Tops	Camisas	no
77222	Camiseta PRIMUS Interlock M. Larga Cuello V 48-50	Camiseta PRIMUS Interlock M. Larga Cuello V 48-50. Marca Primus. Colores: Blanco. Talles: 48, 50. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Camiseta-primus-interlock-m-larga-cuello-v-48-50.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-primus-interlock-m-larga-cuello-v-48-50-1719602550-0-0.webp	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-primus-interlock-m-larga-cuello-v-48-50-1719602550-0-1.webp,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-primus-interlock-m-larga-cuello-v-48-50-1719602550-0-2.webp	in_stock	31479.36 ARS	new	Primus	Apparel & Accessories > Clothing > Shirts & Tops	Camisetas	no
77221	Camiseta PRIMUS Interlock M. Larga Cuello V 46	Camiseta PRIMUS Interlock M. Larga Cuello V 46. Marca Primus. Colores: Blanco. Talles: 46. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Camiseta-primus-interlock-m-larga-cuello-v-46.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-primus-interlock-m-larga-cuello-v-46-1719601396-0-0.webp	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-primus-interlock-m-larga-cuello-v-46-1719601396-0-1.webp,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-primus-interlock-m-larga-cuello-v-46-1719601396-0-2.webp	in_stock	28618.92 ARS	new	Primus	Apparel & Accessories > Clothing > Shirts & Tops	Camisetas	no
77220	Camiseta PRIMUS Interlock M. Larga Cuello V 38-44	Camiseta PRIMUS Interlock M. Larga Cuello V 38-44. Marca Primus. Colores: Blanco. Talles: 38, 40, 42, 44. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Camiseta-primus-interlock-m-larga-cuello-v-38-44.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-primus-interlock-m-larga-cuello-v-38-44-1719600599-0-0.webp		in_stock	26017.42 ARS	new	Primus	Apparel & Accessories > Clothing > Shirts & Tops	Camisetas	no
77215	Slip EYELIT 333 Algodon Rayado	Slip EYELIT 333 Algodon Rayado. Marca Eyelit. Colores: Azul, Gris, Negro, Rojo. Talles: M, L, XL, 2XL. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Slip-eyelit-333-algodon-rayado.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Slip-eyelit-333-algodon-rayado-1719598346-0-0.jpeg		in_stock	13055.90 ARS	new	Eyelit	Apparel & Accessories > Clothing > Underwear & Socks > Underwear	Slips	no
77214	Pack x 3 Slips Algodon Lisos y Rayados	Pack x 3 Slips Algodon Lisos y Rayados. Marca Eyelit. Colores: Surtido. Talles: M, L, XL, 2XL. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Pack-x-3-slips-algodon-lisos-y-rayados.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Pack-x-3-slips-algodon-lisos-y-rayados-1719597352-0-0.webp		in_stock	31447.90 ARS	new	Eyelit	Apparel & Accessories > Clothing > Underwear & Socks > Underwear	Slips	no
77213	Pack x 3 Slips Algodón Surtido	Pack x 3 Slips Algodón Surtido. Marca Eyelit. Colores: Surtido. Talles: S, M, L, XL, 2XL. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Pack-x-3-slips-algodon-surtido.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Pack-x-3-slips-algodon-surtido-1770062043-0-0.webp	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Pack-x-3-slips-algodon-surtido-1770062043-0-1.webp,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Pack-x-3-slips-algodon-surtido-1770062043-0-2.webp,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Pack-x-3-slips-algodon-surtido-1770062043-0-3.webp	in_stock	31447.90 ARS	new	Eyelit	Apparel & Accessories > Clothing > Underwear & Socks > Underwear	Slips	no
77212	Slip EYELIT 329 Liso	Slip EYELIT 329 Liso. Marca Eyelit. Colores: Azul, Azul Francia, Blanco, Gris, Gris Topo, Negro, Rojo. Talles: M, L, XL, 2XL. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Slip-eyelit-329-liso.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Slip-eyelit-329-liso-1719595059-0-0.webp		in_stock	15475.90 ARS	new	Eyelit	Apparel & Accessories > Clothing > Underwear & Socks > Underwear	Slips	no
77211	Slip EYELIT 1311 Algodón Liso	Slip EYELIT 1311 Algodón Liso. Marca Eyelit. Colores: Azul, Azul Francia, Azulino, Blanco, Bordo, Celeste, Gris, Gris Topo, Negro, Verde. Talles: S, M, L, XL, 2XL. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Slip-eyelit-1311-algodon-liso.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Slip-eyelit-1311-algodon-liso-1768922360-0-0.webp		in_stock	12097.58 ARS	new	Eyelit	Apparel & Accessories > Clothing > Underwear & Socks > Underwear	Slips	no
77049	Camiseta PRIMUS Interlock M. Corta Cuello V 46	Camiseta PRIMUS Interlock M. Corta Cuello V 46. Marca Primus. Colores: Blanco. Talles: 46. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Camiseta-primus-interlock-m-corta-cuello-v-46.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-primus-interlock-m-corta-cuello-v-46-1718799023-0-0.webp	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-primus-interlock-m-corta-cuello-v-46-1718799023-0-1.webp,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-primus-interlock-m-corta-cuello-v-46-1718799023-0-2.webp	in_stock	23856.36 ARS	new	Primus	Apparel & Accessories > Clothing > Shirts & Tops	Camisetas	no
